Handle,GeeksForGeeksHandle,CodeforcesHandle,LeetCodeHandle,CodeChefHandle,HackerRankHandle,GeeksForGeeksURLExists,CodeforcesURLExists,LeetCodeURLExists,CodeChefURLExists,HackerRankURLExists
21R01A0509,21r01a0509,CMRIT25_21R01A0509,bhavani_2234,bhavani_2234,21r01a0509,True,True,True,True,True
21R01A0510,ranjithra88zk,cmrit25_21r01a0510,ranjith_890,ranjith_890,ranjithranji2251,True,True,True,True,True
21R01A0513,21r01a0513,cmrit_21r01a0513,21r01a0513,vishwatej4,21r01a0513,True,True,True,False,True
21R01A0514,21r01a0514,CMRIT2025_21R01A0514,21r01a0514,cmr_21r01a0514,21r01a0514,True,True,True,True,True
21R01A0517,21r01a0517,21r01a0517,mahesh2023,maheshdasari,21r01a0517,True,True,True,False,True
21R01A0518,21r01a0518,21r01a0518,21r01a0518,cmr_21r01a0518,21r01a0518,True,True,True,True,True
21R01A0520,21r01a0520,21r01a0520,21r01a0520,premsai20,21r01a0520,True,True,True,True,True
21R01A0521,21r01a0521,CMRIT25_21R01A0521,21r01a0521,cmr_21r01a0521,21r01a0521,True,True,True,True,True
21R01A0523,21r01a0523,21r01a0523,vedaprathik23,vedaprathik23,21r01a0523,True,True,True,True,True
21R01A0524,21r01a0524,21r01a0524,21r01a0524,akshaya_42,21r01a0524,True,True,True,True,True
21R01A0527,21r01a0527,Srilekha_527,srilekha_3,tinnu_3_3,21r01a0527,True,True,True,True,True
21R01A0528,21r01a0528,CMRIT25_21R01A0528,21r01a0528,k_prakashraj17,21r01a0528,True,True,True,True,True
21R01A0531,21r01a0531,CMRIT25_21R01A0531,21R01A0531,meg_21r01a0531,21r01a0531,True,True,True,True,True
21R01A0532,21r01a0532,CMRIT2025_21R01A0532,21r01a0532,cmr_21r01a0532,21r01a0532,True,True,True,True,True
21R01A0533,21r01a0533,cmrit25_21r01a0533,21r01a0533,harikakaranam,21r01a0533,True,True,True,True,True
21R01A0534,21r01a0534,CMRIT25_21R01A0534,21R01A0534,cmrit_21r01a05,21r01a0534,True,True,True,True,True
21R01A0535,21r01a0535,CMRIT25_21R01A0535,21r01a0535,Srishanth_35,21r01a0535,True,True,True,True,True
21R01A0536,21R01A0536,CMRIT25_21R01A0536,21r01a0536,akanksha_konga,21R01A0536,True,True,True,True,True
21R01A0538,21r01araze,#N/A,#N/A,hansika33,21R01A0538,True,False,False,True,True
21R01A0539,21r01a0539,CMRIT25_21R01A0539,21r01a0539,yogeshmadhine,21r01a0539,True,True,True,False,True
21R01A0541,21R01A0541,21R01A0541@cmritonline.ac.in,vinuthnna_reddy,vin_21r01a0541,21R01A0541cmritonline.ac.in,True,False,True,True,True
21R01A0543,21r01a0543,CMRIT25_21R01A0543,santhosh_76,santhoshnayakm,21r01a0543,True,True,True,True,True
21R01A0544,21r01a0544,CMRIT25_21R01A0544,Sushma_2374,sushma_2374,21r01a0544,True,True,True,True,True
21R01A0545,ravi21r01a0545,cmrit25_21r01a0545,21r01a0545ravi,ravi_1603,21r01a0545,True,True,True,True,True
21R01A0546,sreejanarala,CMRIT25_21R01A0546,21R01A0546,sree21r01a0546,21R01A0546,True,True,True,True,True
21R01A0547,21r01a0547_navadeep,CMRIT25_21R01A0547,21r01a0547,navadeep_1511,21r01a0547,True,True,True,False,True
21R01A0548,varshitha613,CMRIT25_21R01A0548,Varshitha_77,varshitha_77,21R01A0548,True,True,True,True,True
21R01A0549,21r01as4mb,CMRIT25_21R01A0549,harshithhreddy,harshithreddy4,21r01a0549,True,True,True,True,True
21R01A0550,21r01a0550,CMRIT25_21R01A0550,21r01a0550,akhil_550,21r01a0550,True,True,True,True,True
21R01A0551,21r01a0551,abhiram122002,abhiram_212,abhiram_2023,abhiram551,True,True,True,True,True
21R01A0552,21r01a0552,21r01a0552,21R01A0552,Shravani52,21R01A0552,True,True,True,True,True
21R01A0553,srijaseewh3s,srijaseepathi07,srijaseepathi07,srijaseepathi,srijaseepathi07,True,True,True,True,True
21R01A0555,21r01a0555@cmritonline.ac.in,#N/A,#N/A,Sanju_555,21r01a0555cmritonline.ac.in,True,False,False,True,True
21R01A0556,cmr_21r01a0556,CMRIT25_21R01A0556,21R01A0556,cmr_21r01a0556,21R01A0556,True,True,True,True,True
21R01A0557,thada_preethi,CMRIT25_21R01A0557,21R01A0557,cmr_21r01a0557,21R01A0557,True,True,True,True,True
21R01A0558,nischaypq24,CMRIT25_21R01A0558,user0322sl,nischayreddy,nischayreddy_t,True,True,True,True,True
21R01A0559,21r01a0559,CMRIT25_21R01A0559,21r01a0559,sravani1304,21R01A0559,True,True,True,True,True
21R01A0561,21r01a0561,CMRIT25__21R01A0561,21r01a0561,pavanvasam577,21r01a0561,True,True,True,True,True
21R01A0562,21r01a0562,21r01a0562,21r01a0562,vedanthkankan,21r01a0562,True,True,True,True,True
21R01A0563,21r01a0563,21r01a0563,21r01a0563,shivathmika63,21R01A0563,True,True,True,True,True
21R01A0564,akshitha12,CMRIT25_21R01A0564,akshitha12,akshitha564,21r01a0564,True,True,True,True,True
21R01A0565,21r01ar0tu,CMRIT25_21R01A0565,21R01A0565_LOHITHA,cmr_21R01A0565,21r01a0565,True,True,True,True,True
21R01A0566,21r01a1fp0,CMRIT25_21R01A0566,Gnanitha_Annavarapu,r01a0566,21R01A0566,True,True,True,True,True
21R01A0567,21r01abk04,21r01a0567,21r01a0567,saiteja567,21r01a0567,True,True,True,True,True
21R01A0568,21r01amhbr,#N/A,21r01a0568,deekshitha777,21r01a0568Deekshitha,True,False,True,True,True
21R01A0570,21r01a0570,CMRIT25_21R01A0570,21r01a0570,shreya_1_17,21r01a0570,True,True,True,True,True
21R01A0571,#N/A,#N/A,#N/A,#N/A,#N/A,False,False,False,False,False
21R01A0572,21r01a0572,CMRIT25_21R01A0572,vasundhara676,vasundhara2,21r01a0572,True,True,True,True,True
21R01A0573,datta73,datta73,datta73,datta73,21R01A0573,True,True,True,True,True
21R01A0574,21R01A0574,21r01a0574,21r01a0574,cmr_21r01a0574,21R01A0574,True,True,True,True,True
21R01A0575,21r01a0575,CMRIT25_21R01A0575,21r01a0575,chakri26,21r01a0575,True,True,True,True,True
21R01A0577,21r01avor9,cmrit25_21r01a0577,adithya0509,adithya0509,21r01a0577,True,True,True,True,True
21R01A0578,21r01a0578,CMRIT25_21R01A0578,21R01A0578,navya578,21r01a0578,True,True,True,True,True
21R01A0579,21r01azt73,21r01a0579,21r01a0579,akshith579,DARLAAKSHITH21R01A0579,True,True,True,True,True
21R01A0580,21r01ahaqd,CMRIT25_21R01A0580,21R01A0580,santhosh580,21r01a0580,True,True,True,True,True
21R01A0581,21r01a3aac,cmrit25_21r01a0581,21r01a0581,akarsh99,21R01A0581,True,True,True,True,True
21R01A0582,21r01a0582,CMRIT2025_21R01A0582,21r01a0582,sravya2004,21r01a0582,True,True,True,True,True
21R01A0583,21r01a0583,CMRIT25_21R01A0583,21r01a0583,sreeja_r21,21r01a0583,True,True,True,True,True
21R01A0584,21R01A0584,21r01a0584@cmritonline.ac.in,21R01A0584,21R01A0584@cmritonline.ac.in,21r01a0584,True,False,True,False,True
21R01A0585,21r01a0585,21R01A0585,agent_storm,agent_storm,21r01a0585,True,True,True,True,True
21R01A0588,jujjuvarapukeerthana@gmail.com,keerthana_588,jujjuvarapukeerthanagmail.com,#N/A,jujjuvarapukeerthanagmail.com,True,False,False,False,True
21R01A0589,21r01ayusu,CMRIT25_21R01A0589,21R01A0589,anuh21r01a0589,21R01A0589,True,True,True,True,True
21R01A0590,#N/A,CMRIT25_21R01A0590,21r01a0590,manikanta61,manikantacharan,False,True,True,True,True
21R01A0591,karnamvarq2le,CMRIT25_21R01A0591,21r01a0591,varshith_591,21r01a0591,True,True,True,True,True
21R01A0593,pavish2xqq,CMRIT25_21R01A0593,21R01A0593,vishnu_593,kvv21r01a0593,True,True,True,True,True
21R01A0595,21r01aem5o,CMRIT25_21R01A0595,21r01a0595,sadhvika12,21r01a0595,True,True,True,True,True
21R01A0596,21r01avr1q,21r01a0596,21r01a0596,r01a0596,21R01A0596,True,True,True,True,True
21R01A0597,21r01a0597,21r01a0597,vamshi_yadav2727,vamshiyadav07,21r01a0597,True,True,True,True,True
21R01A0598,#N/A,#N/A,#N/A,#N/A,priyanshraj15,False,False,False,False,True
21R01A05A0,shadab01,21r01a05a0,21r01a05a0,shadab01,21r01a05a0,True,True,True,True,True
21R01A05A1,21r01a0q5z,CMRIT25_21R01A05A1,21R01A05A1,mehrajfatima,21R01A05A1,True,True,True,True,True
21R01A05A2,21r01a5a2,CMRIT25_21R01A05A2,21r01a05a2,s21ro1ao5a2,21R01A05A2,True,True,True,True,True
21R01A05A3,21r01a05a3,CMRIT25_21R01A05A3,21r01a05a3,rahilsubhan,21r01a05a3,True,True,True,True,True
21R01A05A5,muddasaniramya,CMRIT25_21R01A05A5,21R01A05A5,ramyamuddasani,21R01A05A5,True,True,True,True,True
21R01A05A6,harishblia,CMRIT25_21R01A05A6,21r01a05a6,harishgo764,harishgo764,True,True,True,True,True
21R01A05A8,21r01a05a8,CMRIT25_21R01A05A8,21r01a05a8,pallavi2004,21r01a05a8,True,True,True,True,True
21R01A05B0,21r01a05b0,21r01a05b0,21r01a05b0,surabhi_nanda,21r01a05b0,True,True,True,True,True
21R01A05B2,21r01a16da,Purella_Abhilash,cmr_5b2,cmr_5b2,21R01A05B2,True,True,True,False,True
21R01A05B3,#N/A,#N/A,pavanipuja,pavanipuja,21r01a05b3,False,False,True,True,True
21R01A05B6,21r01a05b6,CMRIT25_21r01a05b6,21r01a05b6,samrah10,21r01a05b6,True,True,True,True,True
21R01A05B7,21r01a05b7,CMRIT25_21R01A05B7,21R01A05B7,ramya_b7,21r01a05b7,True,True,True,True,True
21R01A05C0,21r01a05c0,CMRIT25_21R01A05C0,21R01A05C0,tanirukavyasri,21r01a05c0,True,True,True,False,True
21R01A05C2,cmr_21r01a05c2,CMRIT25_21R01A05C2,21R01A05C2,sravanikumari,21r01a05c2,True,True,True,True,True
21R01A05C4,21r01a05c4,CMRIT25_21R01A05C4,21r01a05c4,ribbu_0230,21r01a05c4,True,False,True,True,True
21R01A05C8,21r01anhzo,CMRIT25_21R01A05C8,shanmukh2410,shanmukh2410,21R01A05C8,True,True,True,True,True
21R01A05C9,21r01ab981,CMRIT25_21R01A05C9,21r01a05c9,hamsika5c9,21r01a05c9,True,True,True,True,True
21R01A05D1,21r01a05d1,21r01a05d1CMRIT25,21r01a05d1,vineeth5d1,21R01A05D1,True,True,True,True,True
21R01A05D2,21r01a0ybx,rana_9325,21r01a05d2,rana_9325,21r01a05d2,True,True,True,True,True
21R01A05D3,21r01a05d3,CMRIT25_21R01A05D3,21R01A05D3,edith3000,21R01A05D3,True,True,True,True,True
21R01A05D4,21r01a05d4,21r01a05d4,21R01A05D4,bhavana00,21R01A05D4,True,True,True,True,True
21R01A05D5,21r01a05d5,21R01A05D5_cmrit,21R01A05D5,keerthana1017,21R01A05D5,True,True,True,True,True
21R01A05D6,21r01a05d6,CMRIT25_21R01A05D6,21r01a05d6,julie14,21r01a05d6,True,True,True,True,True
21R01A05D7,21r01a05d7,CMRIT25_21R01A05D7,21R01A05D7,akanksha_0304,21r01a05d7,True,True,True,True,True
21R01A05D8,21r01a4moz,B_sai_charan99,21r01a05d8,sai21r01a05d8,21r01a05d8cmrit1,True,True,True,True,True
21R01A05D9,21R01A05D9,21R01A05D9,21R01A05D9,s_21r01a05d9,21R01A05D9,True,True,True,True,True
21R01A05E0,tejabat54e6,tejabathini70,Naveenbathini,naveenbathini3,tejabathini70,True,True,True,True,True
21R01A05E1,21r01a05e1,charan_boga,21r01a05e1,cmr_21r01a05e1,21r01a05e1,True,True,True,True,True
21R01A05E2,21r01a05e2,CMRIT25_21R01A05E2,21R01A05E2,cmr_21r01a05e2,21r01a05e2,True,True,True,True,True
21R01A05E4,#N/A,#N/A,#N/A,#N/A,#N/A,False,False,False,False,False
21R01A05E5,cmrit25_21r01a05e5,cmrit25_21R01A05E5,21R01A05E5,csashish,21R01A05E5,True,True,True,True,True
21R01A05E6,21r01a05e6,21r01a05e6,21r01a05e6,cmr_21r01a05e6,21r01a05e6,True,True,True,False,True
21R01A05F0,ajaygaj99e1,CMRIT25_21R01A05F0,explorer245,explorer245,21R01A05F0,True,True,True,True,True
21R01A05F1,21r01a05f1,CMRIT25_21R01A05F1,21R01A05F1,vynika2004,21r01a05f1,True,True,True,True,True
21R01A05F2,21r01a05f2,21R01A05F2,21R01A05F2,sketch5f2,21r01a05f2,True,True,True,True,True
21R01A05F3,21r01a05f3,Cmrit25_21r01a05f3,21R01A05F3,cmr_21r01a05f3,21R01A05F3,True,True,True,True,True
21R01A05F5,kalavalanavangd94,Navaneeth5f5,navaneeth1103,navaneeth1103,kalavalanavanee1,True,True,True,True,True
21R01A05F9,sanjana_54,CMRIT25_21R01A05F9,sanjana_54,sanjana_54,21R01A05F9,True,True,True,True,True
21R01A05G0,21r01ao3tc,rishivaran5g0,rishivaran,rishivaran5go,21r01a05g0,True,True,True,True,True
21R01A05G2,21r01a05g2,CMRIT25_21R01AO5G2,sumith12,sumith12,21r01a05g2,True,False,True,True,True
21R01A05G3,21r01a05g3,21r01a05g3,21R01A05G3,cse_21r01a05g3,21r01a05g3,True,True,True,True,True
21R01A05G4,21r01a05g4,Cmrit25_21r01a05g4,21R01A05G4,r01a05g4,21r01a05g4,True,True,True,True,True
21R01A05G5,ruthikc11kv,cmrit25_21r01a05g5,ruthikchary,ruthik25,21R01A05G5,True,True,True,True,True
21R01A05G6,21r01a05g6,CMRIT25_21R01A05G6,21r01a05g6,cmr_21r01a05g6,21R01A05G6,True,True,True,True,True
21R01A05G8,21r01a05g8,21R01A05G8,21r01a05g8,metharitejas,21r01a05g8,True,True,True,True,True
21R01A05G9,21r01a05g9,CMRIT25_21R01A05G9,21R01A05G9,srivarsha_31,21R01A05G9,True,True,True,True,True
21R01A05H0,21r01a05h0,CMRIT25_21R01A05H0,21r01a05h0,gowtham_sagar7,21r01a05h0,True,True,True,True,True
21R01A05H2,21r01aymik,CMRIT25_21R01A05H2,21R01A05H2,cmr_21r01a05h2,rakeshpadamatin1,True,True,True,True,True
21R01A05H3,21r01arsvz,CMRIT25_21R01A05H3,Prashanth_Padige07,prashanth64,21r01a05h3,True,True,True,True,True
21R01A05H4,21r01aqj42,21R01A05H4,21r01a05h4,mallika1321,21r01a05h4,True,True,True,True,True
21R01A05H6,21r01a05h6,CMRIT25_21R01A05H6,21r01a05h6,vaishnavi_5h6,21r01a05h6,True,True,True,True,True
21R01A05H7,21r01aezhm,CMRIT25_21r01a05h7,21r01a05h7,sharanya5h7,21r01a05h7,True,True,True,True,True
21R01A05H8,21r01a05h8,CMRIT25_21R01A05H8,21r01a05h8,cmr_21r01a05h8,21r01a05h8,True,True,True,True,True
21R01A05H9,21r01a05h9_cmrit2025,CMRIT25_21R01A05H9,21r01a05h9,21r01a05h9_cmrit2025,21r01a05h9,True,True,True,False,True
21R01A05J0,21r01a05j0,CMRIT25_21R01A05J0,21r01a05j0,sr21r01a05j0,21R01A05J0,True,True,True,True,True
21R01A05J1,21r01a05j1,CMRIT25_21R01A05J1,21r01a05j1,srikar741,21r01a05j1,True,True,True,True,True
21R01A05J2,21r01Ao5j2,21r01A05j2,21r01a05j2,ahmed4849,21R01A05J2,True,True,True,True,True
21R01A05J3,21r01a05j3,CMRIT25_21R01A05J3,21R01A05J3,sravani173,21r01a05j3,True,True,True,True,True
21R01A05J4,21r01a05j4,cmrit25_21r01a05j4,21r01a05j4,r01a05j4,21r01a05j4,True,True,True,True,True
21R01A05J5,21r01a05j5,CMRIT25_21R01A05J5,sreenath_5j5,Sreenath_5j5,21r01a05j5,True,True,True,True,True
21R01A05J6,21r01awu1y,CMRIT25_21r01a05j6,21r01a05j6,hima21r01a05j6,21r01a05j6,True,True,True,True,True
21R01A05J7,21r01a05j7,Vishnuabhi,cmr_21r01a05j7,vishnu_5j7,Vishnu_5j7,True,True,True,True,True
21R01A05J8,21r01aq09q,CMRIT25_21R01A05J8,21R01A05J8lt,tevinj8,HckrJ8,True,True,True,True,True
21R01A05K0,21r01a05k0,21R01A05K0,Cmr_21r01a05k0,vinaykumar3816,21r01a05k0,True,True,False,False,True
21R01A05K1,21R01A05K1,V.Preethi,21R01A05K1,preethivarthya,21R01A05K1PREETHI,True,True,True,True,True
21R01A05K3,21r01a05k3,CMRIT25_21R01A05K3,21r01a05k3,ruthvik5k3,21r01a05k3,True,True,True,True,True
21R01A05K5,21r01a05k5,CMRIT25_21R01A05K5,veerendra74,veerendra74,21r01a05k5,True,True,True,True,True
21R01A05K6,21r01a05k6,CMRIT25_21R01A05K6,21r01a05k6,cmr_21r01a05k6,21r01a05k6,True,True,True,True,True
21R01A05K7,21r01a05k7,CMRIT25_21R01A05K7,21r01a05k7,cmrit5k7,21r01a05k7,True,True,True,True,True
21R01A05K8,21r01a05k8,CMRIT25_21R01A05K8,21R01A05K8,srujan_20,21r01a05K8,True,True,True,True,True
21R01A05L0,21r01a05l0,#N/A,ManognaKumar,manognakumar,21R01A05L0_Manu,True,False,True,True,True
21R01A05L1,21r01a05l1cmrit,CMRIT25_21R01A05L1,21r01a05l1cmrit,selveenagrace0,21R01A05L1cmrit,True,True,True,True,True
21R01A05L4,cmrit_21r01a05l4,CMRIT_21R01a05l4,CMRIT_HARISH5628,harish5628,21r01a05l4,True,True,True,True,True
21R01A05L6,21r01a05l6,CMRIT_21R01A05L6,21R01A05L6,ranjith_20,21r01a05l6,True,True,True,True,True
21R01A05M1,21r01a05m1,CMRIT25_21R01A05M1,21R01A05M1,cmr_21r01a05m1,21R01A05M1,True,True,True,True,True
21R01A05M2,21r01an1s6,CMRIT25_21R01A05M2,21r01a05m2,r01a05m2,21r01a05m2,True,True,True,True,True
21R01A05M3,21r01a4b5o,#N/A,21r01a05m3,gowthami_2003,21R01A05M3,True,False,True,True,True
21R01A05M4,21r01acgdz,CMRIT25_21r01a05m4,21r01a05m4,sunil5m4,21r01a05m4,True,True,True,True,True
21R01A05M5,21r01a05m5,CMRIT25_21R01A05M5,21r01a05m5,hemanth_463,21r01a05m5,True,True,True,True,True
21R01A05M6,21r01acr0e,CMRIT25_21R01A05M6,21r01a05m6,r01a05m6,21r01a05m6,True,True,True,True,True
21R01A05M7,21r01a05m7,21r01a05m7,21R01A05M7,prasad_00,21r01a05m7,True,True,True,True,True
21R01A05M8,21r01a05m8,CMRIT25_21R01A05M8,sahithi_5m8,sahithi_136,21r01a05m8,True,True,False,True,True
21R01A05M9,21r01a05m9,21R01A05M9,21r01a05m9,vishnu93,21R01A05M9,True,True,True,True,True
21R01A05N4,21R01A05N4,21R01A05N4,Bhargavi,Bhargavi,Bhargavi,True,True,True,True,True
21R01A05N5,21r01aw4dd,Cmrit25_21r01a05n5,21R01A05N5,r01a05n5,21r01a05n5,True,True,True,True,True
21R01A05N6,21r01a05n6,CMRIT25_21r01a05n6,21r01a05n6,cmr_21r01a05n6,21r01a05n6,True,True,True,True,True
21R01A05N7,21r01a05n7,CMRIT25_21R01A05N7,21r01a05n7,cmr_21r01a05n7,21R01A05N7,True,True,True,True,True
21R01A05N8,karthik_51,CMRIT25-21r01a05n8,karthik_51,karthik_51,21r01a05n8,True,True,True,True,True
21R01A05N9,21r01a05n9,21r01a05n9,21r01a05n9,manohar1012,21r01a05n9,True,True,True,True,True
21R01A05P0,21r01az74y,21R01A05P0,21R01A05P0,cmr_21r01a05p0,21r01a05p0,True,True,True,True,True
21R01A05P1,#N/A,#N/A,#N/A,#N/A,Pavan,False,False,False,False,True
21R01A05P4,21r01a05p4,CMRIT25_21R01A05P4,21r01a05p4,cmr_21r01a05p4,21r01a05p4,True,True,True,True,True
21R01A05P5,21r01a05p5,CMRIT25_21R01A05P5,21R01A05P5,cmr_21r01a05p5,21r01a05p5,True,True,True,True,True
21R01A05P6,21r01a05p6,CMRIT_21R01A05P6,21R01A05P6,nainika_215p6,21r01a05p6,True,True,True,True,True
21R01A05P8,rohan_adepu,CMRIT25_21R01A05P8,21r01a05p8cmritonline.ac.in,rohan_adepu,21R01A05P8rohan,True,True,False,True,True
21R01A05P9,21r01a05p9,21r01a05p9,21r01a05p9,hari05p9,21r01a05p9,True,True,True,True,True
21R01A05Q1,21r01a05q1,21R01A05Q1,21r01a05q1,manish5q1,21R01A05Q1,True,True,True,True,True
21R01A05Q2,21r01a05q2,CMRIT25_21R01A05Q2,mahendra45,mahendra45,21r01a05q2,True,True,True,True,True
21R01A05Q5,21r01a05q5,Alshay5q5,akshay5q5,akshay5q5,21r01a05q5,True,True,True,True,True
21R01A05Q7,21r01au8ud,21r01a05q7,21r01a05q7,ttanvi,21r01a05q7,True,True,True,True,True
21R01A05Q8,#N/A,21r01a05q8,u21r01a05q8,u21r01a05q8,21r01a05q8,False,True,True,True,True
21R01A05Q9,21r01a05q9,21r01a05q9,21r01a05q9,sai21r01a05q9,21r01a05q9,True,True,True,True,True
21R01A05R0,21r01a05r0,Varsha_12,21r01a05r0,cmr_21r01a05r0,21r01a05r0,True,True,True,False,True
21R01A05R3,21r01a05r3,CMRIT25_21R01A05R3,21r01a05r3,bhanuprakash75,21r01a05r3,True,True,True,True,True
21R01A05R4,21r01a05r4,CMRIT25_21R01A05R4,21r01a05r4shravani,sravs_76,21r01a05r4,True,True,True,True,True
21R01A05R6,21r01a05r6,CMRIT25_21R01A05R6,21r01a05r6,cmr_21r01a05r6,21r01a05r6,True,True,True,True,True
21R01A05R7,cmrit_21r01a05r7,21r01a05r7cse,21R01A05R7,cmr21r01a05r7,YERRANAGULAANUSHA21R01A05R7,True,True,True,True,True
22R05A0501,Abbagouni22501,cmrit25_22R05A0501,22R05A0501,bhavani2003,22R05A0501,True,True,True,True,True
22R05A0502,22r05a0502,22r05a0502,22r05a0502,srujan22502,22r05a0502,True,True,True,True,True
22R05A0503,22r05a0503,22R05A0503,22r05a0503,s22r05a0503,22R05A0503,True,True,True,True,True
22R05A0504,22R05A0504,#N/A,#N/A,22r05a0504,22R05A0504,True,False,False,False,True
22R05A0505,cmrit_22r05a0505,CMRIT25_22R05A0505,22r05a0505,praveen784,22r05a0505,True,True,True,True,True
